nrow	ptw
17410	ko00051
17411	ko00051
17412	ko00051
17520	ko00051
17863	ko00051
18046	ko00051
18047	ko00051
18048	ko00051
18288	ko00051
18289	ko00051
18353	ko00051
18584	ko00051
18905	ko00051
19995	ko00051
20712	ko00051
21075	ko00051
11	ko00052
34	ko00052
89	ko00052
623	ko00052
746	ko00052
747	ko00052
751	ko00052
752	ko00052
785	ko00052
817	ko00052
860	ko00052
861	ko00052
967	ko00052
1058	ko00052
1063	ko00052
1065	ko00052
1066	ko00052
1069	ko00052
1079	ko00052
1095	ko00052
1103	ko00052
1471	ko00052
1474	ko00052
1516	ko00052
1603	ko00052
1604	ko00052
1633	ko00052
1648	ko00052
1666	ko00052
1857	ko00052
1858	ko00052
2511	ko00052
2512	ko00052
2513	ko00052
2514	ko00052
2532	ko00052
2533	ko00052
2534	ko00052
2542	ko00052
2543	ko00052
2544	ko00052
4311	ko00052
4967	ko00052
6174	ko00052
6180	ko00052
6958	ko00052
6959	ko00052
7498	ko00052
7499	ko00052
7825	ko00052
10448	ko00052
10449	ko00052
10450	ko00052
10853	ko00052
11500	ko00052
11564	ko00052
11565	ko00052
11760	ko00052
11761	ko00052
11768	ko00052
11769	ko00052
11859	ko00052
11898	ko00052
15063	ko00052
15064	ko00052
15638	ko00052
15639	ko00052
16791	ko00052
17198	ko00052
17199	ko00052
17200	ko00052
17201	ko00052
17864	ko00052
19995	ko00052
20486	ko00052
20487	ko00052
20488	ko00052
21038	ko00052
12	ko00053
61	ko00053
98	ko00053
120	ko00053
139	ko00053
203	ko00053
367	ko00053
377	ko00053
408	ko00053
618	ko00053
782	ko00053
937	ko00053
1470	ko00053
1535	ko00053
1536	ko00053
1537	ko00053
2569	ko00053
2570	ko00053
2823	ko00053
2824	ko00053
2825	ko00053
3205	ko00053
3206	ko00053
7620	ko00053
7757	ko00053
9535	ko00053
9536	ko00053
11898	ko00053
13285	ko00053
13286	ko00053
13287	ko00053
13288	ko00053
13289	ko00053
13496	ko00053
13601	ko00053
15458	ko00053
16818	ko00053
17696	ko00053
17999	ko00053
18000	ko00053
18001	ko00053
18539	ko00053
18593	ko00053
18611	ko00053
18972	ko00053
20717	ko00053
56	ko00061
187	ko00061
188	ko00061
565	ko00061
567	ko00061
568	ko00061
585	ko00061
587	ko00061
588	ko00061
955	ko00061
1545	ko00061
1700	ko00061
1743	ko00061
1757	ko00061
1758	ko00061
1759	ko00061
1937	ko00061
2146	ko00061
2147	ko00061
3643	ko00061
3644	ko00061
8952	ko00061
10256	ko00061
10257	ko00061
10258	ko00061
10721	ko00061
10722	ko00061
10991	ko00061
14309	ko00061
15631	ko00061
17545	ko00061
17546	ko00061
17547	ko00061
21	ko00062
952	ko00062
957	ko00062
959	ko00062
7060	ko00062
7061	ko00062
7062	ko00062
7063	ko00062
7066	ko00062
9688	ko00062
9689	ko00062
9725	ko00062
9726	ko00062
9727	ko00062
9728	ko00062
9729	ko00062
9730	ko00062
9731	ko00062
9732	ko00062
9739	ko00062
10179	ko00062
14685	ko00062
15607	ko00062
16462	ko00062
21367	ko00062
1	ko00071
21	ko00071
113	ko00071
120	ko00071
139	ko00071
209	ko00071
223	ko00071
224	ko00071
226	ko00071
229	ko00071
429	ko00071
432	ko00071
464	ko00071
549	ko00071
555	ko00071
1523	ko00071
1601	ko00071
1639	ko00071
1700	ko00071
1710	ko00071
3793	ko00071
4957	ko00071
5542	ko00071
6008	ko00071
6977	ko00071
7060	ko00071
7061	ko00071
7062	ko00071
7064	ko00071
7065	ko00071
7066	ko00071
7067	ko00071
7068	ko00071
8281	ko00071
8282	ko00071
8972	ko00071
8973	ko00071
10004	ko00071
12669	ko00071
12670	ko00071
13180	ko00071
13363	ko00071
13364	ko00071
13365	ko00071
13366	ko00071
13392	ko00071
13496	ko00071
13716	ko00071
14309	ko00071
16762	ko00071
16763	ko00071
17902	ko00071
17916	ko00071
18474	ko00071
18475	ko00071
20583	ko00071
21380	ko00071
18	ko00072
549	ko00072
918	ko00072
919	ko00072
920	ko00072
1420	ko00072
1478	ko00072
1479	ko00072
12778	ko00073
12827	ko00073
14686	ko00073
14687	ko00073
14688	ko00073
14689	ko00073
14690	ko00073
14691	ko00073
14692	ko00073
14693	ko00073
14694	ko00073
17065	ko00073
19713	ko00073
192	ko00100
201	ko00100
202	ko00100
205	ko00100
447	ko00100
488	ko00100
559	ko00100
709	ko00100
936	ko00100
1638	ko00100
1664	ko00100
1665	ko00100
5527	ko00100
6971	ko00100
6988	ko00100
6990	ko00100
7291	ko00100
7293	ko00100
7767	ko00100
7771	ko00100
9318	ko00100
9319	ko00100
9320	ko00100
9321	ko00100
9322	ko00100
11750	ko00100
12795	ko00100
13801	ko00100
13802	ko00100
14045	ko00100
20059	ko00100
36	ko00120
225	ko00120
425	ko00120
426	ko00120
579	ko00120
1308	ko00120
1613	ko00120
6982	ko00120
6983	ko00120
6991	ko00120
6992	ko00120
8264	ko00120
8280	ko00120
9698	ko00120
9707	ko00120
11445	ko00120
11857	ko00120
11860	ko00120
73	ko00121
1308	ko00121
15150	ko00121
15151	ko00121
15152	ko00121
15153	ko00121
15154	ko00121
15155	ko00121
15156	ko00121
21416	ko00121
21417	ko00121
21418	ko00121
21419	ko00121
316	ko00130
397	ko00130
424	ko00130
497	ko00130
518	ko00130
722	ko00130
741	ko00130
958	ko00130
1495	ko00130
1663	ko00130
1705	ko00130
1712	ko00130
2136	ko00130
2320	ko00130
2321	ko00130
2323	ko00130
2324	ko00130
2922	ko00130
2923	ko00130
2924	ko00130
2925	ko00130
2926	ko00130
2927	ko00130
2928	ko00130
3535	ko00130
4993	ko00130
5535	ko00130
5692	ko00130
5693	ko00130
5694	ko00130
5701	ko00130
8198	ko00130
9323	ko00130
9324	ko00130
9595	ko00130
11237	ko00130
11238	ko00130
11239	ko00130
11240	ko00130
11526	ko00130
11951	ko00130
11952	ko00130
12983	ko00130
14129	ko00130
14130	ko00130
17313	ko00130
17357	ko00130
17358	ko00130
17359	ko00130
17581	ko00130
17653	ko00130
17846	ko00130
18240	ko00130
18267	ko00130
19754	ko00130
36	ko00140
37	ko00140
43	ko00140
67	ko00140
68	ko00140
85	ko00140
191	ko00140
225	ko00140
426	ko00140
433	ko00140
434	ko00140
448	ko00140
449	ko00140
474	ko00140
618	ko00140
907	ko00140
908	ko00140
1011	ko00140
1012	ko00140
1636	ko00140
3836	ko00140
4955	ko00140
4956	ko00140
6960	ko00140
6961	ko00140
6962	ko00140
6964	ko00140
6965	ko00140
6966	ko00140
6967	ko00140
6976	ko00140
6982	ko00140
6985	ko00140
6986	ko00140
9691	ko00140
9732	ko00140
11795	ko00140
11796	ko00140
11797	ko00140
12790	ko00140
12791	ko00140
12792	ko00140
12795	ko00140
14965	ko00140
16764	ko00140
16765	ko00140
16766	ko00140
210	ko00190
211	ko00190
212	ko00190
213	ko00190
214	ko00190
215	ko00190
216	ko00190
217	ko00190
219	ko00190
220	ko00190
221	ko00190
222	ko00190
293	ko00190
294	ko00190
295	ko00190
296	ko00190
297	ko00190
298	ko00190
299	ko00190
300	ko00190
301	ko00190
302	ko00190
303	ko00190
304	ko00190
305	ko00190
306	ko00190
307	ko00190
317	ko00190
350	ko00190
351	ko00190
352	ko00190
353	ko00190
355	ko00190
356	ko00190
357	ko00190
358	ko00190
359	ko00190
360	ko00190
361	ko00190
362	ko00190
363	ko00190
364	ko00190
365	ko00190
368	ko00190
369	ko00190
370	ko00190
836	ko00190
1365	ko00190
1389	ko00190
1395	ko00190
1396	ko00190
1397	ko00190
1398	ko00190
1403	ko00190
1884	ko00190
1885	ko00190
1886	ko00190
1887	ko00190
1888	ko00190
1889	ko00190
1890	ko00190
1891	ko00190
1892	ko00190
1894	ko00190
1895	ko00190
1896	ko00190
1897	ko00190
1898	ko00190
1899	ko00190
1900	ko00190
1901	ko00190
1902	ko00190
1903	ko00190
1904	ko00190
1905	ko00190
1906	ko00190
1907	ko00190
1908	ko00190
1909	ko00190
1910	ko00190
1911	ko00190
1912	ko00190
1913	ko00190
1914	ko00190
1915	ko00190
1916	ko00190
1917	ko00190
1918	ko00190
1919	ko00190
1920	ko00190
1921	ko00190
1922	ko00190
1923	ko00190
1924	ko00190
1925	ko00190
1926	ko00190
1927	ko00190
1928	ko00190
1929	ko00190
1930	ko00190
1931	ko00190
1932	ko00190
2033	ko00190
2034	ko00190
2035	ko00190
2036	ko00190
2037	ko00190
2038	ko00190
2039	ko00190
2040	ko00190
2041	ko00190
2042	ko00190
2043	ko00190
2044	ko00190
2045	ko00190
2046	ko00190
2047	ko00190
2048	ko00190
2049	ko00190
2050	ko00190
2051	ko00190
2052	ko00190
2053	ko00190
2054	ko00190
2074	ko00190
2075	ko00190
2076	ko00190
2077	ko00190
2574	ko00190
2575	ko00190
2576	ko00190
2577	ko00190
3390	ko00190
3391	ko00190
3601	ko00190
3602	ko00190
3603	ko00190
3604	ko00190
3605	ko00190
3606	ko00190
3607	ko00190
3608	ko00190
3609	ko00190
3610	ko00190
3611	ko00190
3612	ko00190
3613	ko00190
3614	ko00190
3656	ko00190
3657	ko00190
3658	ko00190
3659	ko00190
3660	ko00190
3661	ko00190
3662	ko00190
3663	ko00190
3664	ko00190
3665	ko00190
3666	ko00190
3667	ko00190
3668	ko00190
3669	ko00190
3670	ko00190
3671	ko00190
3672	ko00190
3673	ko00190
3674	ko00190
3675	ko00190
3676	ko00190
3677	ko00190
3678	ko00190
3679	ko00190
3680	ko00190
3681	ko00190
3682	ko00190
3683	ko00190
3684	ko00190
3685	ko00190
3686	ko00190
3687	ko00190
3688	ko00190
3689	ko00190
3690	ko00190
5203	ko00190
5204	ko00190
5205	ko00190
5206	ko00190
5207	ko00190
5208	ko00190
5209	ko00190
5210	ko00190
5211	ko00190
5212	ko00190
5213	ko00190
5214	ko00190
5215	ko00190
5216	ko00190
5217	ko00190
5218	ko00190
5219	ko00190
5597	ko00190
10810	ko00190
10811	ko00190
10812	ko00190
11180	ko00190
11181	ko00190
12800	ko00190
12802	ko00190
14696	ko00190
15144	ko00190
15145	ko00190
15258	ko00190
15259	ko00190
17904	ko00190
17905	ko00190
21284	ko00190
21314	ko00190
1885	ko00195
1886	ko00195
1887	ko00195
1888	ko00195
1889	ko00195
1890	ko00195
1891	ko00195
1892	ko00195
2405	ko00195
2406	ko00195
2407	ko00195
2408	ko00195
2409	ko00195
2410	ko00195
2411	ko00195
2412	ko00195
2413	ko00195
2414	ko00195
2457	ko00195
2458	ko00195
2459	ko00195
2460	ko00195
2461	ko00195
2462	ko00195
2463	ko00195
2464	ko00195
2465	ko00195
2466	ko00195
2467	ko00195
2468	ko00195
2469	ko00195
2470	ko00195
2471	ko00195
2472	ko00195
2473	ko00195
2474	ko00195
2475	ko00195
2476	ko00195
2477	ko00195
2478	ko00195
2479	ko00195
2480	ko00195
2481	ko00195
2482	ko00195
2484	ko00195
2485	ko00195
2486	ko00195
2487	ko00195
2488	ko00195
2489	ko00195
2490	ko00195
2491	ko00195
2492	ko00195
3271	ko00195
3272	ko00195
3416	ko00195
8415	ko00195
8416	ko00195
8417	ko00195
8418	ko00195
8419	ko00195
8420	ko00195
13710	ko00195
1870	ko00196
1871	ko00196
1872	ko00196
1873	ko00196
1874	ko00196
1875	ko00196
2061	ko00196
2062	ko00196
2063	ko00196
2064	ko00196
2065	ko00196
2066	ko00196
2067	ko00196
2399	ko00196
2400	ko00196
2401	ko00196
2402	ko00196
2403	ko00196
5012	ko00196
5013	ko00196
5014	ko00196
5015	ko00196
5016	ko00196
5017	ko00196
5018	ko00196
5019	ko00196
5020	ko00196
5021	ko00196
5022	ko00196
8421	ko00196
8422	ko00196
8423	ko00196
8424	ko00196
8425	ko00196
8426	ko00196
8427	ko00196
8428	ko00196
8429	ko00196
8430	ko00196
8431	ko00196
13583	ko00196
19658	ko00196
135	ko00220
233	ko00220
234	ko00220
235	ko00220
428	ko00220
536	ko00220
541	ko00220
542	ko00220
543	ko00220
718	ko00220
719	ko00220
720	ko00220
721	ko00220
725	ko00220
728	ko00220
826	ko00220
830	ko00220
1291	ko00220
1293	ko00220
1294	ko00220
1295	ko00220
1296	ko00220
1304	ko00220
1321	ko00220
1338	ko00220
1340	ko00220
1577	ko00220
1716	ko00220
1739	ko00220
1740	ko00220
1745	ko00220
5228	ko00220
5456	ko00220
5457	ko00220
5458	ko00220
5459	ko00220
8569	ko00220
10530	ko00220
10817	ko00220
12108	ko00220
12671	ko00220
12672	ko00220
12673	ko00220
12846	ko00220
13460	ko00220
13644	ko00220
13655	ko00220
13831	ko00220
13832	ko00220
13915	ko00220
14048	ko00220
14052	ko00220
14053	ko00220
14659	ko00220
18392	ko00220
21291	ko00220
21292	ko00220
21293	ko00220
70	ko00230
83	ko00230
84	ko00230
101	ko00230
322	ko00230
323	ko00230
459	ko00230
460	ko00230
461	ko00230
462	ko00230
527	ko00230
528	ko00230
669	ko00230
670	ko00230
674	ko00230
679	ko00230
742	ko00230
758	ko00230
762	ko00230
775	ko00230
793	ko00230
794	ko00230
804	ko00230
826	ko00230
838	ko00230
839	ko00230
841	ko00230
843	ko00230
847	ko00230
850	ko00230
854	ko00230
855	ko00230
856	ko00230
857	ko00230
859	ko00230
883	ko00230
964	ko00230
1000	ko00230
1001	ko00230
1010	ko00230
1020	ko00230
1112	ko00230
1114	ko00230
1293	ko00230
1294	ko00230
1295	ko00230
1296	ko00230
1330	ko00230
1339	ko00230
1345	ko00230
1348	ko00230
1349	ko00230
1350	ko00230
1352	ko00230
1354	ko00230
1366	ko00230
1367	ko00230
1368	ko00230
1370	ko00230
1371	ko00230
1372	ko00230
1373	ko00230
1374	ko00230
1375	ko00230
1378	ko00230
1380	ko00230
1381	ko00230
1433	ko00230
1434	ko00230
1435	ko00230
1578	ko00230
1589	ko00230
1590	ko00230
1648	ko00230
1652	ko00230
1724	ko00230
1733	ko00230
1738	ko00230
1742	ko00230
1748	ko00230
1749	ko00230
1861	ko00230
2094	ko00230
2095	ko00230
2096	ko00230
2097	ko00230
2098	ko00230
2099	ko00230
2100	ko00230
2101	ko00230
2102	ko00230
2103	ko00230
2110	ko00230
2112	ko00230
2113	ko00230
2114	ko00230
2115	ko00230
2116	ko00230
2117	ko00230
2118	ko00230
2119	ko00230
2120	ko00230
2202	ko00230
2452	ko00230
2453	ko00230
2746	ko00230
2747	ko00230
2748	ko00230
2749	ko00230
2750	ko00230
2751	ko00230
2752	ko00230
2753	ko00230
2754	ko00230
2755	ko00230
2756	ko00230
2757	ko00230
2758	ko00230
2759	ko00230
2760	ko00230
2761	ko00230
2762	ko00230
2763	ko00230
2764	ko00230
2765	ko00230
2766	ko00230
2767	ko00230
2768	ko00230
2769	ko00230
2770	ko00230
2771	ko00230
2772	ko00230
2773	ko00230
2774	ko00230
2787	ko00230
2788	ko00230
2789	ko00230
2790	ko00230
2791	ko00230
2792	ko00230
2793	ko00230
2794	ko00230
2795	ko00230
2796	ko00230
2797	ko00230
2798	ko00230
2799	ko00230
2800	ko00230
2801	ko00230
2802	ko00230
2803	ko00230
2805	ko00230
2806	ko00230
2807	ko00230
3234	ko00230
3235	ko00230
3236	ko00230
3381	ko00230
3489	ko00230
3509	ko00230
3510	ko00230
3513	ko00230
3541	ko00230
3542	ko00230
4456	ko00230
5479	ko00230
5501	ko00230
6422	ko00230
6487	ko00230
6525	ko00230
6684	ko00230
7358	ko00230
7572	ko00230
7573	ko00230
7574	ko00230
7575	ko00230
7576	ko00230
7577	ko00230
7578	ko00230
7579	ko00230
7580	ko00230
7812	ko00230
7835	ko00230
8210	ko00230
8234	ko00230
8239	ko00230
9402	ko00230
9697	ko00230
9830	ko00230
10281	ko00230
10282	ko00230
10492	ko00230
10637	ko00230
10638	ko00230
10639	ko00230
10640	ko00230
10724	ko00230
11206	ko00230
11242	ko00230
11243	ko00230
11263	ko00230
11756	ko00230
11757	ko00230
11770	ko00230
11771	ko00230
11772	ko00230
11773	ko00230
11774	ko00230
11775	ko00230
11776	ko00230
11858	ko00230
12721	ko00230
12722	ko00230
12724	ko00230
12726	ko00230
12898	ko00230
12899	ko00230
12900	ko00230
12901	ko00230
12902	ko00230
12903	ko00230
12904	ko00230
13126	ko00230
13168	ko00230
13169	ko00230
13170	ko00230
13171	ko00230
13172	ko00230
13173	ko00230
13174	ko00230
13175	ko00230
13176	ko00230
13210	ko00230
13211	ko00230
13224	ko00230
13399	ko00230
13400	ko00230
13460	ko00230
13570	ko00230
14013	ko00230
14014	ko00230
14091	ko00230
14275	ko00230
14804	ko00230
14805	ko00230
15063	ko00230
15064	ko00230
15065	ko00230
16101	ko00230
16102	ko00230
16103	ko00230
16104	ko00230
16105	ko00230
16118	ko00230
16119	ko00230
17225	ko00230
17356	ko00230
17497	ko00230
17509	ko00230
17510	ko00230
17511	ko00230
17518	ko00230
17520	ko00230
17526	ko00230
17579	ko00230
17580	ko00230
17597	ko00230
18039	ko00230
18523	ko00230
18661	ko00230
18785	ko00230
18913	ko00230
18919	ko00230
19822	ko00230
19977	ko00230
20052	ko00230
20502	ko00230
20852	ko00230
21024	ko00230
21412	ko00230
21413	ko00230
21414	ko00230
12077	ko00231
12078	ko00231
12079	ko00231
12080	ko00231
12081	ko00231
12082	ko00231
12083	ko00231
12084	ko00231
12085	ko00231
101	ko00232
323	ko00232
545	ko00232
6961	ko00232
12169	ko00232
12170	ko00232
12171	ko00232
16101	ko00232
16758	ko00232
20518	ko00232
20519	ko00232
20520	ko00232
20567	ko00232
20568	ko00232
20569	ko00232
186	ko00240
204	ko00240
228	ko00240
459	ko00240
460	ko00240
461	ko00240
462	ko00240
489	ko00240
533	ko00240
534	ko00240
535	ko00240
666	ko00240
667	ko00240
668	ko00240
671	ko00240
672	ko00240
759	ko00240
778	ko00240
794	ko00240
839	ko00240
842	ko00240
844	ko00240
859	ko00240
964	ko00240
1000	ko00240
1113	ko00240
1297	ko00240
1328	ko00240
1329	ko00240
1347	ko00240
1351	ko00240
1355	ko00240
1356	ko00240
1367	ko00240
1368	ko00240
1370	ko00240
1374	ko00240
1376	ko00240
1437	ko00240
1736	ko00240
1751	ko00240
1752	ko00240
1753	ko00240
2094	ko00240
2095	ko00240
2096	ko00240
2097	ko00240
2098	ko00240
2099	ko00240
2100	ko00240
2101	ko00240
2102	ko00240
2103	ko00240
2110	ko00240
2112	ko00240
2113	ko00240
2114	ko00240
2115	ko00240
2116	ko00240
2117	ko00240
2118	ko00240
2119	ko00240
2120	ko00240
2452	ko00240
2453	ko00240
2571	ko00240
2573	ko00240
2746	ko00240
2747	ko00240
2748	ko00240
2749	ko00240
2750	ko00240
2751	ko00240
2752	ko00240
2753	ko00240
2754	ko00240
2755	ko00240
2756	ko00240
2757	ko00240
2758	ko00240
2759	ko00240
2760	ko00240
2761	ko00240
2762	ko00240
2763	ko00240
2764	ko00240
2765	ko00240
2766	ko00240
2767	ko00240
2768	ko00240
2769	ko00240
2770	ko00240
2771	ko00240
2772	ko00240
2773	ko00240
2774	ko00240
2787	ko00240
2788	ko00240
2789	ko00240
2790	ko00240
2791	ko00240
2792	ko00240
2793	ko00240
2794	ko00240
2795	ko00240
2796	ko00240
2797	ko00240
2798	ko00240
2799	ko00240
2800	ko00240
2801	ko00240
2802	ko00240
2803	ko00240
2805	ko00240
2806	ko00240
2807	ko00240
3196	ko00240
3234	ko00240
3235	ko00240
3236	ko00240
3489	ko00240
3509	ko00240
3510	ko00240
3513	ko00240
4456	ko00240
5595	ko00240
6525	ko00240
8210	ko00240
8238	ko00240
8239	ko00240
8244	ko00240
8523	ko00240
8524	ko00240
8525	ko00240
8526	ko00240
8528	ko00240
8529	ko00240
9376	ko00240
9392	ko00240
9402	ko00240
9697	ko00240
10281	ko00240
10282	ko00240
10998	ko00240
10999	ko00240
11206	ko00240
11756	ko00240
11757	ko00240
12840	ko00240
13210	ko00240
13211	ko00240
13212	ko00240
13213	ko00240
13222	ko00240
13410	ko00240
13570	ko00240
14013	ko00240
14014	ko00240
14091	ko00240
14805	ko00240
15338	ko00240
15596	ko00240
15597	ko00240
15598	ko00240
16165	ko00240
16797	ko00240
16798	ko00240
16902	ko00240
17580	ko00240
18745	ko00240
18746	ko00240
18919	ko00240
19822	ko00240
19981	ko00240
20502	ko00240
20852	ko00240
127	ko00250
130	ko00250
232	ko00250
233	ko00250
234	ko00250
235	ko00250
237	ko00250
238	ko00250
239	ko00250
242	ko00250
248	ko00250
262	ko00250
533	ko00250
534	ko00250
535	ko00250
674	ko00250
718	ko00250
719	ko00250
720	ko00250
721	ko00250
727	ko00250
730	ko00250
734	ko00250
735	ko00250
1290	ko00250
1291	ko00250
1303	ko00250
1426	ko00250
1568	ko00250
1577	ko00250
1578	ko00250
1599	ko00250
1715	ko00250
1716	ko00250
1738	ko00250
1739	ko00250
1745	ko00250
1750	ko00250
1751	ko00250
1752	ko00250
1753	ko00250
3072	ko00250
5228	ko00250
6803	ko00250
7847	ko00250
8108	ko00250
9249	ko00250
10817	ko00250
10998	ko00250
10999	ko00250
12942	ko00250
12984	ko00250
13233	ko00250
13644	ko00250
13652	ko00250
13655	ko00250
13831	ko00250
13832	ko00250
13964	ko00250
14052	ko00250
14659	ko00250
16132	ko00250
16835	ko00250
17382	ko00250
17383	ko00250
17384	ko00250
18262	ko00250
21273	ko00250
5182	ko00253
5183	ko00253
5184	ko00253
11872	ko00253
13630	ko00253
13633	ko00253
13634	ko00253
13635	ko00253
13636	ko00253
13637	ko00253
13638	ko00253
13639	ko00253
13640	ko00253
